,winner,winner_url,looser,looser_url,outcome
151,Edson Barboza,http://www.ufcstats.com/fighter-details/64a50dad704d1d49,Drakkar Klose,http://www.ufcstats.com/fighter-details/7cbf7c78d3b34218,0.0
152,Karine Silva,http://www.ufcstats.com/fighter-details/9d62c2d8ee151f08,Dione Barbosa,http://www.ufcstats.com/fighter-details/27b388f0aab49780,1.0
153,Alibi Idiris,http://www.ufcstats.com/fighter-details/30cad5a751adcb48,Joseph Morales,http://www.ufcstats.com/fighter-details/2fe9032955c2e013,0.0
154,Anthony Hernandez,http://www.ufcstats.com/fighter-details/093e1f5bb73850be,Roman Dolidze,http://www.ufcstats.com/fighter-details/327d5f279895110d,1.0
155,Steve Erceg,http://www.ufcstats.com/fighter-details/32ab52e5de93092d,Ode Osbourne,http://www.ufcstats.com/fighter-details/6d68c1afe954f121,1.0
156,Iasmin Lucindo,http://www.ufcstats.com/fighter-details/abcf2cc6efc42031,Angela Hill,http://www.ufcstats.com/fighter-details/f0feeb2192937424,1.0
157,Christian Rodriguez,http://www.ufcstats.com/fighter-details/5ec591b78349ba7e,Andre Fili,http://www.ufcstats.com/fighter-details/8fd808923cffff82,0.0
158,Jean Matsumoto,http://www.ufcstats.com/fighter-details/ffd3224638c01b57,Miles Johns,http://www.ufcstats.com/fighter-details/46e0d677f91bacc0,1.0
159,Christian Leroy Duncan,http://www.ufcstats.com/fighter-details/a93f94c923c3a9cb,Eryk Anders,http://www.ufcstats.com/fighter-details/cad24459b28592ca,1.0
160,Rafael Cerquiera,http://www.ufcstats.com/fighter-details/09a4447655fd4b7b,Julius Walker,http://www.ufcstats.com/fighter-details/6add18754930182b,0.0
161,Toshiomi Kazama,http://www.ufcstats.com/fighter-details/148bb103cfbf123e,Elijah Smith,http://www.ufcstats.com/fighter-details/7478b7f959ba61f5,0.0
162,Joselyne Edwards,http://www.ufcstats.com/fighter-details/f9ab66e67240db7b,Priscila Cachoeira,http://www.ufcstats.com/fighter-details/b1e5bcaad32a3cac,1.0
163,Uros Medic,http://www.ufcstats.com/fighter-details/681399317dbf4701,Gilbert Urbina,http://www.ufcstats.com/fighter-details/b12fb759e02378de,1.0
164,Gabriella Fernandes,http://www.ufcstats.com/fighter-details/a6eb54ae17a551be,Julija Stoliarenko,http://www.ufcstats.com/fighter-details/a78a87d8c2bbb1cb,1.0
165,Eric McConico,http://www.ufcstats.com/fighter-details/9508cc6184cb2450,Cody Brundage,http://www.ufcstats.com/fighter-details/f14f644d41ade29f,1.0
