winner,looser,height_1,weight_1,reach_1,stance_1,dob_1,slpm_1,stracc_1,sapm_1,strdef_1,tdavg_1,tdacc_1,tddef_1,subavg_1,height_2,weight_2,reach_2,stance_2,dob_2,slpm_2,stracc_2,sapm_2,strdef_2,tdavg_2,tdacc_2,tddef_2,subavg_2,fight_date,cur_streak_1,max_streak_1,cur_streak_2,max_streak_2,outcome
Jhonata Diniz,Mario Pinto,"6' 4""",254 lbs.,"79""",Orthodox,"Jun 23, 1991",3.89,56%,3.62,56%,0.0,0%,70%,0.0,"6' 5""",265 lbs.,"79""",Orthodox,"Mar 14, 1998",3.39,78%,2.42,53%,2.72,60%,100%,1.8,2025.0,1.0,3.0,2.0,2.0,0.0
Kaan Ofli,Ricardo Ramos,"5' 7""",145 lbs.,"66""",Orthodox,"Jun 19, 1993",1.79,46%,2.61,60%,0.61,14%,0%,0.6,"5' 9""",145 lbs.,"72""",Orthodox,"Aug 01, 1995",2.91,36%,3.97,54%,2.51,57%,67%,1.0,2025.0,0.0,0.0,0.0,3.0,1.0
Michael Aswell Jr.,Lucas Almeida,"5' 8""",145 lbs.,"69""",Orthodox,"Sep 27, 2000",9.56,45%,7.79,54%,0.0,0%,57%,0.0,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",4.94,39%,5.36,44%,0.0,0%,53%,0.0,2025.0,0.0,0.0,0.0,1.0,1.0
Clayton Carpenter,Jafel Filho,"5' 6""",125 lbs.,"66""",Orthodox,"Jun 09, 1996",3.66,53%,2.57,55%,1.99,46%,37%,1.3,"5' 7""",125 lbs.,"68""",Orthodox,"May 05, 1993",1.85,41%,1.62,50%,2.52,45%,66%,2.2,2025.0,0.0,3.0,0.0,2.0,0.0
Vitor Petrino,Thomas Petersen,"6' 2""",265 lbs.,"77""",Orthodox,"Aug 28, 1997",2.75,46%,2.48,47%,3.04,51%,79%,0.8,"6' 1""",264 lbs.,"74""",Southpaw,"Mar 30, 1995",3.38,58%,2.95,55%,3.71,50%,87%,0.5,2025.0,1.0,5.0,1.0,1.0,1.0
Irina Alekseeva,Bia Mesquita,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",3.42,38%,5.02,45%,0.38,20%,50%,0.4,"5' 4""",135 lbs.,"67""",Orthodox,"Apr 07, 1991",4.98,57%,0.83,73%,4.15,66%,0%,2.1,2025.0,0.0,1.0,0.0,0.0,0.0
Stewart Nicoll,Lucas Rocha,"5' 5""",125 lbs.,"65""",Orthodox,"Apr 11, 1996",3.0,34%,6.69,48%,2.55,14%,25%,0.0,"5' 3""",125 lbs.,"64""",Orthodox,"Aug 12, 2000",5.09,49%,3.67,56%,1.64,75%,76%,0.0,2025.0,0.0,0.0,0.0,1.0,0.0
Karolina Kowalkiewicz,Julia Polastri,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985",5.54,42%,5.77,56%,0.36,23%,74%,0.2,"5' 2""",115 lbs.,"64""",Orthodox,"Mar 05, 1998",6.4,54%,5.4,57%,0.73,80%,60%,0.4,2025.0,0.0,4.0,0.0,1.0,0.0
Luan Lacerda,Saimon Oliveira,"5' 7""",135 lbs.,"71""",Orthodox,"Jan 07, 1993",4.02,46%,5.79,46%,2.29,41%,66%,0.9,"5' 4""",135 lbs.,"72""",Orthodox,"Apr 21, 1991",2.62,42%,3.87,45%,1.18,28%,36%,1.2,2025.0,0.0,0.0,0.0,1.0,1.0
Magomed Ankalaev,Alex Pereira,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.65,52%,2.59,56%,0.79,22%,87%,0.0,"6' 4""",205 lbs.,"79""",Orthodox,"Jul 07, 1987",5.16,62%,3.5,53%,0.11,50%,79%,0.2,2025.0,3.0,9.0,0.0,5.0,0.0
