winner,looser,height_1,weight_1,reach_1,stance_1,dob_1,slpm_1,stracc_1,sapm_1,strdef_1,tdavg_1,tdacc_1,tddef_1,subavg_1,height_2,weight_2,reach_2,stance_2,dob_2,slpm_2,stracc_2,sapm_2,strdef_2,tdavg_2,tdacc_2,tddef_2,subavg_2,fight_date,cur_streak_1,max_streak_1,cur_streak_2,max_streak_2,outcome
Travis Wiuff,Renato Sobral,"6' 3""",205 lbs.,--,Orthodox,"Mar 15, 1978",0.48,30%,4.03,41%,4.84,57%,44%,1.2,"6' 1""",205 lbs.,"75""",Orthodox,"Sep 07, 1975",2.23,45%,1.53,57%,2.48,42%,65%,2.6,2005.0,0.0,0.0,0.0,4.0,0.0
Frank Trigg,Matt Hughes,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972",2.79,46%,1.9,56%,2.35,47%,75%,0.8,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",2.14,53%,1.36,53%,2.95,50%,35%,1.2,2005.0,0.0,4.0,0.0,6.0,0.0
Matt Lindland,Travis Lutter,"6' 0""",185 lbs.,"74""",Southpaw,"May 17, 1970",2.62,50%,1.56,52%,3.01,48%,60%,1.3,"5' 11""",185 lbs.,"75""",Orthodox,"May 12, 1973",0.41,32%,2.42,42%,1.95,24%,30%,0.7,2005.0,1.0,4.0,0.0,1.0,1.0
Georges St-Pierre,Jason Miller,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981",3.78,53%,1.4,72%,4.16,74%,83%,1.1,"6' 1""",185 lbs.,--,Orthodox,"Dec 24, 1980",1.83,43%,2.3,49%,1.31,28%,43%,1.3,2005.0,12.0,12.0,0.0,3.0,1.0
Joe Riggs,Ivan Salaverry,"6' 0""",185 lbs.,"70""",Southpaw,"Sep 23, 1982",2.41,51%,1.69,57%,2.45,55%,62%,0.6,"6' 0""",185 lbs.,--,Orthodox,"Jan 11, 1971",3.01,47%,1.19,76%,0.49,18%,36%,2.5,2005.0,1.0,2.0,0.0,2.0,0.0
Joe Doerksen,Patrick Cote,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,42%,2.79,50%,2.02,33%,33%,2.3,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 29, 1980",2.81,48%,3.21,48%,0.68,20%,43%,0.2,2005.0,0.0,1.0,0.0,5.0,1.0
Mike van Arsdale,John Marsh,"6' 2""",205 lbs.,--,Switch,"Jun 20, 1965",1.52,41%,1.91,41%,1.06,14%,37%,0.0,"6' 0""",265 lbs.,--,Orthodox,"Sep 15, 1970",0.83,42%,2.23,40%,0.43,100%,54%,0.4,2005.0,0.0,3.0,0.0,0.0,1.0
Ken Shamrock,Rich Franklin,"6' 1""",205 lbs.,"72""",Orthodox,"Feb 11, 1964",1.47,46%,4.3,39%,0.94,60%,44%,2.5,"6' 1""",185 lbs.,"76""",Southpaw,"Oct 05, 1974",4.1,44%,2.07,62%,1.31,66%,63%,0.7,2005.0,0.0,2.0,1.0,8.0,0.0
Stephan Bonnar,Forrest Griffin,"6' 4""",205 lbs.,"79""",Orthodox,"Apr 04, 1977",2.76,38%,3.01,52%,1.32,40%,60%,1.0,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 16, 1979",4.38,36%,2.81,61%,1.05,48%,57%,0.7,2005.0,3.0,3.0,0.0,4.0,0.0
Kenny Florian,Diego Sanchez,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3,"5' 10""",170 lbs.,"72""",Southpaw,"Dec 31, 1981",2.69,37%,3.02,56%,1.51,24%,46%,0.8,2005.0,1.0,6.0,1.0,9.0,0.0
Sam Hoger,Bobby Southworth,"6' 2""",205 lbs.,--,Orthodox,"Jun 28, 1980",1.07,25%,2.25,57%,1.12,38%,29%,1.3,"6' 2""",205 lbs.,--,Orthodox,"Dec 16, 1969",0.99,39%,1.38,65%,3.98,78%,64%,1.3,2005.0,0.0,1.0,0.0,0.0,1.0
Jason Thacker,Chris Leben,"5' 10""",185 lbs.,--,Orthodox,"Aug 18, 1975",0.63,33%,17.05,32%,0.0,0%,0%,0.0,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980",2.87,42%,2.87,52%,1.14,41%,53%,0.8,2005.0,0.0,0.0,0.0,5.0,0.0
Josh Koscheck,Chris Sanford,"5' 10""",170 lbs.,"73""",Orthodox,"Nov 30, 1977",1.79,36%,2.27,63%,2.46,48%,64%,0.4,"5' 11""",185 lbs.,--,Orthodox,"Mar 12, 1968",0.23,50%,3.22,17%,0.0,0%,0%,3.5,2005.0,0.0,5.0,0.0,0.0,1.0
Lodune Sincaid,Nate Quarry,"5' 9""",185 lbs.,--,Orthodox,"May 07, 1973",2.72,42%,6.17,57%,0.0,0%,75%,0.0,"6' 0""",185 lbs.,"72""",Open Stance,"Mar 18, 1972",4.96,44%,2.8,66%,0.25,33%,60%,0.0,2005.0,0.0,0.0,2.0,3.0,0.0
Mike Swick,Alex Schoenauer,"6' 1""",170 lbs.,"77""",Orthodox,"Jun 19, 1979",2.36,37%,2.29,54%,1.06,50%,61%,0.6,"6' 3""",185 lbs.,--,Orthodox,"May 05, 1976",1.22,40%,2.27,42%,0.0,0%,22%,4.9,2005.0,0.0,5.0,0.0,0.0,1.0
Josh Rafferty,Alex Karalexis,"6' 0""",170 lbs.,--,Orthodox,"Jan 06, 1981",0.6,33%,3.6,50%,0.0,0%,0%,9.0,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977",2.57,42%,2.39,54%,2.7,45%,86%,0.9,2005.0,0.0,0.0,0.0,1.0,0.0
Tito Ortiz,Vitor Belfort,"6' 3""",205 lbs.,"74""",Orthodox,"Jan 23, 1975",2.59,46%,2.88,60%,2.47,35%,54%,0.6,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",1.59,46%,2.83,50%,1.02,60%,53%,0.6,2005.0,0.0,6.0,1.0,5.0,1.0
Phil Baroni,Pete Sell,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976",2.77,45%,3.93,40%,1.46,47%,60%,0.5,"5' 11""",170 lbs.,"75""",Orthodox,"Aug 05, 1982",2.6,42%,3.65,51%,0.91,21%,47%,0.9,2005.0,0.0,2.0,1.0,1.0,0.0
Andrei Arlovski,Tim Sylvia,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.82,45%,3.22,57%,0.37,35%,76%,0.2,"6' 8""",265 lbs.,"80""",Orthodox,"Mar 05, 1976",4.23,41%,2.61,61%,0.11,100%,75%,0.1,2005.0,0.0,6.0,1.0,5.0,1.0
David Terrell,Evan Tanner,"6' 1""",185 lbs.,--,Southpaw,"Jan 09, 1978",2.34,63%,2.71,37%,5.54,50%,0%,5.5,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",3.05,59%,2.64,56%,2.55,43%,25%,1.3,2005.0,0.0,1.0,0.0,4.0,0.0
Justin Eilers,Paul Buentello,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978",2.86,43%,5.66,49%,0.82,25%,50%,0.0,"6' 2""",245 lbs.,"77""",Orthodox,"Jan 16, 1974",3.29,45%,3.83,52%,0.19,33%,39%,0.4,2005.0,0.0,1.0,0.0,4.0,0.0
James Irvin,Mike Kyle,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 12, 1978",2.03,48%,3.86,35%,0.0,0%,36%,0.5,"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980",3.93,51%,3.35,49%,1.33,62%,50%,0.8,2005.0,0.0,2.0,0.0,1.0,0.0
Gideon Ray,David Loiseau,"5' 10""",185 lbs.,--,Southpaw,"May 27, 1973",2.08,40%,2.58,53%,1.49,100%,0%,0.0,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 17, 1979",1.59,44%,3.64,43%,0.43,42%,36%,0.1,2005.0,0.0,0.0,0.0,3.0,0.0
Chris Lytle,Karo Parisyan,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.7,55%,55%,2.4,"5' 10""",170 lbs.,"72""",Orthodox,"Aug 28, 1982",2.49,41%,2.19,58%,5.27,59%,59%,1.0,2005.0,0.0,4.0,0.0,4.0,0.0
Drew Fickett,Nick Diaz,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979",2.33,41%,2.29,57%,1.3,35%,30%,2.2,"6' 1""",170 lbs.,"76""",Southpaw,"Aug 02, 1983",5.71,42%,3.84,59%,1.28,32%,60%,1.0,2005.0,0.0,2.0,0.0,11.0,0.0
Patrick Cote,Tito Ortiz,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 29, 1980",2.81,48%,3.21,48%,0.68,20%,43%,0.2,"6' 3""",205 lbs.,"74""",Orthodox,"Jan 23, 1975",2.59,46%,2.88,60%,2.47,35%,54%,0.6,2005.0,0.0,5.0,0.0,6.0,0.0
Rich Franklin,Jorge Rivera,"6' 1""",185 lbs.,"76""",Southpaw,"Oct 05, 1974",4.1,44%,2.07,62%,1.31,66%,63%,0.7,"6' 1""",185 lbs.,"73""",Orthodox,"Feb 28, 1972",3.16,48%,2.64,54%,0.84,50%,63%,0.1,2005.0,1.0,8.0,0.0,3.0,1.0
Georges St-Pierre,Matt Hughes,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981",3.78,53%,1.4,72%,4.16,74%,83%,1.1,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",2.14,53%,1.36,53%,2.95,50%,35%,1.2,2005.0,12.0,12.0,0.0,6.0,0.0
Renato Verissimo,Frank Trigg,"6' 1""",170 lbs.,--,Orthodox,"Aug 03, 1973",0.92,48%,1.87,47%,1.46,30%,50%,2.5,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972",2.79,46%,1.9,56%,2.35,47%,75%,0.8,2005.0,0.0,1.0,0.0,4.0,0.0
Evan Tanner,Robbie Lawler,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",3.05,59%,2.64,56%,2.55,43%,25%,1.3,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",3.85,47%,4.67,59%,0.65,64%,65%,0.0,2005.0,0.0,4.0,0.0,5.0,1.0
Tony Fryklund,Ivan Salaverry,"6' 0""",185 lbs.,--,Orthodox,"Mar 26, 1971",3.49,39%,6.5,43%,0.0,0%,66%,0.5,"6' 0""",185 lbs.,--,Orthodox,"Jan 11, 1971",3.01,47%,1.19,76%,0.49,18%,36%,2.5,2005.0,1.0,1.0,0.0,2.0,0.0
Marvin Eastman,Travis Lutter,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971",2.21,35%,3.92,42%,1.38,33%,81%,0.0,"5' 11""",185 lbs.,"75""",Orthodox,"May 12, 1973",0.41,32%,2.42,42%,1.95,24%,30%,0.7,2005.0,1.0,2.0,0.0,1.0,0.0
Randy Couture,Vitor Belfort,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",2.85,57%,1.53,59%,2.78,46%,58%,0.5,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",1.59,46%,2.83,50%,1.02,60%,53%,0.6,2005.0,3.0,4.0,1.0,5.0,1.0
Joe Doerksen,Joe Riggs,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,42%,2.79,50%,2.02,33%,33%,2.3,"6' 0""",185 lbs.,"70""",Southpaw,"Sep 23, 1982",2.41,51%,1.69,57%,2.45,55%,62%,0.6,2005.0,0.0,1.0,1.0,2.0,0.0
Vernon White,Chuck Liddell,"6' 0""",205 lbs.,--,Southpaw,"Dec 03, 1971",2.11,38%,2.2,54%,0.88,28%,44%,0.0,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",2.97,35%,2.71,56%,0.44,75%,81%,0.0,2005.0,0.0,0.0,0.0,8.0,0.0
David Terrell,Matt Lindland,"6' 1""",185 lbs.,--,Southpaw,"Jan 09, 1978",2.34,63%,2.71,37%,5.54,50%,0%,5.5,"6' 0""",185 lbs.,"74""",Southpaw,"May 17, 1970",2.62,50%,1.56,52%,3.01,48%,60%,1.3,2005.0,0.0,1.0,1.0,4.0,1.0
Mike Kyle,Justin Eilers,"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980",3.93,51%,3.35,49%,1.33,62%,50%,0.8,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978",2.86,43%,5.66,49%,0.82,25%,50%,0.0,2005.0,0.0,1.0,0.0,1.0,0.0
Ronald Jhun,Chris Lytle,"5' 11""",170 lbs.,--,Orthodox,"Sep 21, 1970",1.45,57%,3.01,50%,1.81,100%,100%,0.0,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.7,55%,55%,2.4,2005.0,0.0,0.0,0.0,4.0,0.0
Nick Diaz,Karo Parisyan,"6' 1""",170 lbs.,"76""",Southpaw,"Aug 02, 1983",5.71,42%,3.84,59%,1.28,32%,60%,1.0,"5' 10""",170 lbs.,"72""",Orthodox,"Aug 28, 1982",2.49,41%,2.19,58%,5.27,59%,59%,1.0,2005.0,0.0,11.0,0.0,4.0,0.0
Yves Edwards,Josh Thomson,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",2.91,42%,2.34,66%,0.76,53%,69%,0.7,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 21, 1978",2.59,47%,2.12,64%,1.92,39%,54%,1.3,2004.0,0.0,8.0,0.0,7.0,1.0
Kimo Leopoldo,Ken Shamrock,"6' 3""",235 lbs.,--,Orthodox,"Jan 05, 1968",0.76,83%,2.12,30%,4.55,100%,0%,2.3,"6' 1""",205 lbs.,"72""",Orthodox,"Feb 11, 1964",1.47,46%,4.3,39%,0.94,60%,44%,2.5,2004.0,2.0,2.0,0.0,2.0,0.0
Frank Trigg,Dennis Hallman,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972",2.79,46%,1.9,56%,2.35,47%,75%,0.8,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975",1.12,44%,1.96,43%,1.79,30%,25%,2.1,2004.0,0.0,4.0,0.0,2.0,1.0
Tim Sylvia,Frank Mir,"6' 8""",265 lbs.,"80""",Orthodox,"Mar 05, 1976",4.23,41%,2.61,61%,0.11,100%,75%,0.1,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979",2.18,47%,3.84,38%,2.02,40%,54%,2.0,2004.0,1.0,5.0,0.0,4.0,0.0
Matt Hughes,Renato Verissimo,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",2.14,53%,1.36,53%,2.95,50%,35%,1.2,"6' 1""",170 lbs.,--,Orthodox,"Aug 03, 1973",0.92,48%,1.87,47%,1.46,30%,50%,2.5,2004.0,0.0,6.0,0.0,1.0,1.0
Evan Tanner,Phil Baroni,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",3.05,59%,2.64,56%,2.55,43%,25%,1.3,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976",2.77,45%,3.93,40%,1.46,47%,60%,0.5,2004.0,0.0,4.0,0.0,2.0,1.0
Ivan Menjivar,Matt Serra,"5' 6""",145 lbs.,"64""",Orthodox,"May 30, 1982",2.78,37%,2.76,65%,0.56,28%,38%,1.0,"5' 6""",170 lbs.,"68""",Orthodox,"Jun 02, 1974",1.98,39%,2.64,46%,2.05,20%,38%,0.9,2004.0,0.0,3.0,1.0,2.0,0.0
Georges St-Pierre,Jay Hieron,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981",3.78,53%,1.4,72%,4.16,74%,83%,1.1,"6' 0""",170 lbs.,"75""",Orthodox,"Jul 29, 1976",1.66,32%,1.89,61%,4.05,60%,66%,1.0,2004.0,12.0,12.0,0.0,3.0,1.0
Curtis Stout,Trevor Prangley,"6' 1""",185 lbs.,--,Southpaw,"Nov 07, 1973",0.69,67%,3.2,29%,0.0,0%,20%,0.0,"6' 1""",185 lbs.,"75""",Orthodox,"Aug 24, 1972",2.59,60%,2.02,48%,3.38,55%,74%,1.0,2004.0,0.0,0.0,0.0,2.0,0.0
Chuck Liddell,Tito Ortiz,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",2.97,35%,2.71,56%,0.44,75%,81%,0.0,"6' 3""",205 lbs.,"74""",Orthodox,"Jan 23, 1975",2.59,46%,2.88,60%,2.47,35%,54%,0.6,2004.0,0.0,8.0,0.0,6.0,1.0
Chris Lytle,Tiki Ghosn,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.7,55%,55%,2.4,"5' 10""",170 lbs.,--,Orthodox,"Feb 09, 1977",2.78,46%,2.94,58%,0.41,50%,61%,0.0,2004.0,0.0,4.0,0.0,2.0,1.0
Hermes Franca,Yves Edwards,"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",2.91,42%,2.34,66%,0.76,53%,69%,0.7,2004.0,1.0,4.0,0.0,8.0,0.0
Wesley Correira,Andrei Arlovski,"6' 3""",260 lbs.,--,Orthodox,"Nov 11, 1978",2.6,36%,8.8,40%,0.0,0%,90%,0.0,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.82,45%,3.22,57%,0.37,35%,76%,0.2,2004.0,2.0,2.0,0.0,6.0,0.0
Nick Diaz,Robbie Lawler,"6' 1""",170 lbs.,"76""",Southpaw,"Aug 02, 1983",5.71,42%,3.84,59%,1.28,32%,60%,1.0,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",3.85,47%,4.67,59%,0.65,64%,65%,0.0,2004.0,0.0,11.0,0.0,5.0,1.0
Mike Kyle,Wes Sims,"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980",3.93,51%,3.35,49%,1.33,62%,50%,0.8,"6' 10""",260 lbs.,--,Orthodox,"Aug 04, 1979",0.98,51%,2.95,37%,0.0,0%,40%,2.3,2004.0,0.0,1.0,0.0,0.0,1.0
Wade Shipp,Jonathan Wiezorek,"6' 3""",245 lbs.,--,Orthodox,"Feb 09, 1975",4.29,86%,2.14,0%,0.0,0%,75%,0.0,"6' 3""",250 lbs.,--,Southpaw,"Feb 10, 1978",1.27,58%,5.47,31%,1.91,20%,0%,0.0,2004.0,0.0,0.0,0.0,0.0,0.0
Genki Sudo,Mike Brown,"5' 9""",155 lbs.,--,Orthodox,"Mar 08, 1978",1.55,39%,2.23,33%,3.58,60%,50%,4.2,"5' 6""",145 lbs.,"70""",Orthodox,"Sep 08, 1975",2.98,44%,2.45,60%,3.23,40%,66%,0.6,2004.0,0.0,1.0,2.0,4.0,1.0
Vitor Belfort,Randy Couture,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",1.59,46%,2.83,50%,1.02,60%,53%,0.6,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",2.85,57%,1.53,59%,2.78,46%,58%,0.5,2004.0,1.0,5.0,3.0,4.0,1.0
Renato Verissimo,Carlos Newton,"6' 1""",170 lbs.,--,Orthodox,"Aug 03, 1973",0.92,48%,1.87,47%,1.46,30%,50%,2.5,"5' 9""",170 lbs.,--,Orthodox,"Aug 17, 1976",0.65,41%,1.55,44%,2.47,70%,43%,0.9,2004.0,0.0,1.0,1.0,4.0,1.0
Matt Hughes,BJ Penn,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",2.14,53%,1.36,53%,2.95,50%,35%,1.2,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 13, 1978",2.76,48%,3.2,56%,1.19,55%,74%,0.5,2004.0,0.0,6.0,0.0,4.0,0.0
Frank Mir,Wes Sims,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979",2.18,47%,3.84,38%,2.02,40%,54%,2.0,"6' 10""",260 lbs.,--,Orthodox,"Aug 04, 1979",0.98,51%,2.95,37%,0.0,0%,40%,2.3,2004.0,0.0,4.0,0.0,0.0,1.0
Lee Murray,Jorge Rivera,"6' 3""",185 lbs.,--,Orthodox,"Sep 12, 1977",0.36,15%,3.28,32%,0.9,100%,42%,1.8,"6' 1""",185 lbs.,"73""",Orthodox,"Feb 28, 1972",3.16,48%,2.64,54%,0.84,50%,63%,0.1,2004.0,0.0,0.0,0.0,3.0,1.0
Georges St-Pierre,Karo Parisyan,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981",3.78,53%,1.4,72%,4.16,74%,83%,1.1,"5' 10""",170 lbs.,"72""",Orthodox,"Aug 28, 1982",2.49,41%,2.19,58%,5.27,59%,59%,1.0,2004.0,12.0,12.0,0.0,4.0,1.0
Hermes Franca,Josh Thomson,"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 21, 1978",2.59,47%,2.12,64%,1.92,39%,54%,1.3,2004.0,1.0,4.0,0.0,7.0,0.0
Matt Serra,Jeff Curran,"5' 6""",170 lbs.,"68""",Orthodox,"Jun 02, 1974",1.98,39%,2.64,46%,2.05,20%,38%,0.9,"5' 6""",135 lbs.,"69""",Orthodox,"Sep 02, 1977",1.54,31%,2.48,60%,0.35,12%,35%,1.2,2004.0,1.0,2.0,0.0,1.0,1.0
Matt Hughes,Frank Trigg,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",2.14,53%,1.36,53%,2.95,50%,35%,1.2,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972",2.79,46%,1.9,56%,2.35,47%,75%,0.8,2004.0,0.0,6.0,0.0,4.0,1.0
Matt Lindland,Falaniko Vitale,"6' 0""",185 lbs.,"74""",Southpaw,"May 17, 1970",2.62,50%,1.56,52%,3.01,48%,60%,1.3,"5' 10""",185 lbs.,--,Orthodox,"Jul 14, 1974",1.88,49%,3.68,47%,0.72,33%,86%,0.0,2004.0,1.0,4.0,1.0,1.0,1.0
David Abbott,Wesley Correira,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",1.35,30%,3.55,38%,1.07,33%,66%,0.0,"6' 3""",260 lbs.,--,Orthodox,"Nov 11, 1978",2.6,36%,8.8,40%,0.0,0%,90%,0.0,2004.0,0.0,2.0,2.0,2.0,0.0
Phil Baroni,Evan Tanner,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976",2.77,45%,3.93,40%,1.46,47%,60%,0.5,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",3.05,59%,2.64,56%,2.55,43%,25%,1.3,2004.0,0.0,2.0,0.0,4.0,0.0
Chris Lytle,Robbie Lawler,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.7,55%,55%,2.4,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",3.85,47%,4.67,59%,0.65,64%,65%,0.0,2004.0,0.0,4.0,0.0,5.0,0.0
Ricco Rodriguez,Pedro Rizzo,"6' 4""",265 lbs.,--,Orthodox,"Aug 19, 1977",1.85,51%,1.15,61%,2.3,39%,40%,1.0,"6' 1""",241 lbs.,--,Orthodox,"May 03, 1974",1.93,34%,3.02,50%,0.26,28%,78%,0.0,2004.0,0.0,8.0,1.0,4.0,0.0
Chris Liguori,Keith Rockel,"5' 9""",185 lbs.,--,Orthodox,--,0.29,33%,1.44,0%,0.0,0%,50%,0.0,"6' 0""",185 lbs.,--,Orthodox,"Aug 28, 1965",1.13,73%,0.21,66%,4.63,75%,100%,4.6,2004.0,0.0,0.0,0.0,0.0,0.0
Nick Agallar,Yves Edwards,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0.0,0%,0%,0.0,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",2.91,42%,2.34,66%,0.76,53%,69%,0.7,2004.0,0.0,0.0,0.0,8.0,0.0
Randy Couture,Tito Ortiz,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",2.85,57%,1.53,59%,2.78,46%,58%,0.5,"6' 3""",205 lbs.,"74""",Orthodox,"Jan 23, 1975",2.59,46%,2.88,60%,2.47,35%,54%,0.6,2004.0,3.0,4.0,0.0,6.0,1.0
Vladimir Matyushenko,Andrei Arlovski,"6' 0""",205 lbs.,"74""",Orthodox,"Jan 04, 1971",1.9,44%,1.62,59%,3.25,46%,70%,0.1,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.82,45%,3.22,57%,0.37,35%,76%,0.2,2004.0,0.0,2.0,0.0,6.0,0.0
Tim Sylvia,Gan McGee,"6' 8""",265 lbs.,"80""",Orthodox,"Mar 05, 1976",4.23,41%,2.61,61%,0.11,100%,75%,0.1,"6' 10""",265 lbs.,--,Orthodox,"Nov 20, 1976",2.2,29%,2.31,59%,0.65,25%,83%,0.0,2004.0,1.0,5.0,2.0,2.0,1.0
David Loiseau,Jorge Rivera,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 17, 1979",1.59,44%,3.64,43%,0.43,42%,36%,0.1,"6' 1""",185 lbs.,"73""",Orthodox,"Feb 28, 1972",3.16,48%,2.64,54%,0.84,50%,63%,0.1,2004.0,0.0,3.0,0.0,3.0,0.0
Edwin DeWees,Rich Franklin,"6' 1""",185 lbs.,--,Orthodox,"Aug 07, 1982",1.53,33%,6.19,39%,2.18,66%,0%,3.3,"6' 1""",185 lbs.,"76""",Southpaw,"Oct 05, 1974",4.1,44%,2.07,62%,1.31,66%,63%,0.7,2004.0,0.0,0.0,1.0,8.0,0.0
Karo Parisyan,Dave Strasser,"5' 10""",170 lbs.,"72""",Orthodox,"Aug 28, 1982",2.49,41%,2.19,58%,5.27,59%,59%,1.0,"5' 10""",170 lbs.,--,Orthodox,"Jul 13, 1969",3.04,45%,1.88,59%,0.72,33%,33%,0.0,2004.0,0.0,4.0,1.0,1.0,1.0
Gerald Strebendt,Josh Thomson,"5' 9""",155 lbs.,--,Orthodox,"Mar 01, 1979",0.0,0%,4.0,38%,0.0,0%,0%,16.4,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 21, 1978",2.59,47%,2.12,64%,1.92,39%,54%,1.3,2003.0,0.0,0.0,0.0,7.0,0.0
Nick Diaz,Jeremy Jackson,"6' 1""",170 lbs.,"76""",Southpaw,"Aug 02, 1983",5.71,42%,3.84,59%,1.28,32%,60%,1.0,"5' 10""",170 lbs.,--,Orthodox,"Sep 19, 1982",0.71,27%,2.03,25%,1.52,40%,58%,0.0,2003.0,0.0,11.0,0.0,0.0,1.0
Caol Uno,Hermes Franca,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975",1.91,49%,1.9,50%,1.95,31%,37%,0.5,"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4,2003.0,0.0,2.0,1.0,4.0,0.0
Chuck Liddell,Randy Couture,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",2.97,35%,2.71,56%,0.44,75%,81%,0.0,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",2.85,57%,1.53,59%,2.78,46%,58%,0.5,2003.0,0.0,8.0,3.0,4.0,0.0
Kimo Leopoldo,David Abbott,"6' 3""",235 lbs.,--,Orthodox,"Jan 05, 1968",0.76,83%,2.12,30%,4.55,100%,0%,2.3,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",1.35,30%,3.55,38%,1.07,33%,66%,0.0,2003.0,2.0,2.0,0.0,2.0,1.0
